FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,B 12,1,1342,Senior Personnel Assistant,Annual,1,1,54672.00,54672.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,BX 17,20,1331,Employee Relations Supervisor,Annual,1,1,63516.00,63516.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,BX 17,20,1327,Supervisor of Personnel Administration,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,BX 15,20,1302,Administrative Services Officer II,Annual,1,1,73752.00,73752.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,3 00,20,383,Director of Administrative Services,Annual,1,1,97416.00,97416.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,3 00,0,379,Director of Administration,Annual,1,1,111996.00,111996.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,73752.00,73752.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3015,Human Resources,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1524.00,1524.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3020,Policy and Planning,0,,GY 07,10,2918,Chief Planning Analyst,Annual,1,1,80256.00,80256.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3020,Policy and Planning,0,,3 00,20,2901,Director of Planning  Research and Development,Annual,1,1,103740.00,103740.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3020,Policy and Planning,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,76428.00,76428.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3021,Mail  Distribution and Garage,0,,2 0,8,7183,Motor Truck Driver,Hourly,3,1,33.85,211224.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3021,Mail  Distribution and Garage,0,,2 0,8,7132,Mobile Unit Operator,Hourly,1,1,21.53,44782.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3021,Mail  Distribution and Garage,0,,B 09,3,3006,Unit Assistant,Annual,1,1,57828.00,57828.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3021,Mail  Distribution and Garage,0,,B 09,1,1815,Principal Storekeeper,Annual,1,1,57828.00,57828.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3021,Mail  Distribution and Garage,0,,1 00,0,12,Contract Wage Increment - Prevailing Rate,Annual,0,0,4157.00,4157.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3025,Business Operations,0,,BX 13,10,378,Administrative Supervisor,Annual,1,1,67224.00,67224.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3025,Business Operations,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,69648.00,69648.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3025,Business Operations,0,,B 11,1,190,Accounting Technician II,Annual,1,1,69648.00,69648.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3025,Business Operations,0,,B 10,1,189,Accounting Technician I,Annual,1,1,63456.00,63456.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3026,Quality Assurance,0,,BX 17,10,314,Supervisor of Program Review and Audit,Annual,1,1,63516.00,63516.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3026,Quality Assurance,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1524.00,1524.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3028,Contract and Compliance,0,,BX 15,10,1572,Chief Contract Expediter,Annual,1,1,77280.00,77280.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3028,Contract and Compliance,0,,BX 15,10,1532,Contract Compliance Coordinator,Annual,1,1,73752.00,73752.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3028,Contract and Compliance,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,606.00,606.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3040,Grants Development,0,,3 00,10,2926,Supervisor of Grants Administration,Annual,1,1,80112.00,80112.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3040,Grants Development,0,,3 00,20,1441,Coordinating Planner I,Annual,1,1,97728.00,97728.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3041,Violence Prevention,0,,BX 14,10,3899,Program Development Coordinator,Annual,1,1,63276.00,63276.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3041,Violence Prevention,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,256.00,256.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3400,Office of the Commissioner,4005,Administration,1 00,9,9685,Secretary - Health Department,Annual,2,0,0.00,0.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2005,DEPARTMENT OF PUBLIC HEALTH,3400,Office of the Commissioner,4005,Administration,1 00,9,9683,Member,Annual,7,0,0.00,0.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3053,Mobile Service Unit,0,,S 08,37,3763,Nurse Practitioner,Annual,1,1,111576.00,111576.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3053,Mobile Service Unit,0,,BX 16,10,3467,Public Health Administrator III,Annual,1,1,77280.00,77280.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3053,Mobile Service Unit,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1422.00,1422.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3055,Public Health Nursing Services,0,,SZ 06,56,3753,Public Health Nurse III,Annual,1,1,97224.00,97224.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3055,Public Health Nursing Services,0,,S 05,37,3752,Public Health Nurse II,Annual,3,1,101136.00,303408.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3055,Public Health Nursing Services,0,,S 05,37,3752,Public Health Nurse II,Annual,1,1,96300.00,96300.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3055,Public Health Nursing Services,0,,B 08,3,3743,Public Health Aide,Annual,1,1,43740.00,43740.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3055,Public Health Nursing Services,0,,B 08,1,430,Clerk III,Annual,1,1,52740.00,52740.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3055,Public Health Nursing Services,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,186.00,186.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3058,Women  Infant and Children Activity Office,0,,GY 05,10,3412,Public Health Nutritionist III,Annual,1,1,67308.00,67308.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3065,Englewood Health Service Center,0,,SZ 06,56,3753,Public Health Nurse III,Annual,1,1,97224.00,97224.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3065,Englewood Health Service Center,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3411.00,3411.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3070,West Town Health Service Center,0,,S 04,37,3751,Public Health Nurse I,Annual,1,1,91692.00,91692.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3070,West Town Health Service Center,0,,S 04,37,3751,Public Health Nurse I,Annual,1,1,58476.00,58476.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3070,West Town Health Service Center,0,,B 08,3,3743,Public Health Aide,Annual,1,1,45828.00,45828.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3070,West Town Health Service Center,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1422.00,1422.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2010,PRIMARY HEALTH CARE,3105,Roseland Health Center,0,,B 12,3,3169,Medical X-Ray Technologist,Annual,1,1,66492.00,66492.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2015,MENTAL HEALTH,3215,Mental Health Administration,0,,MX 02,9,338D,Psychiatrist,Hourly,1836,0,87.73,161072.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2015,MENTAL HEALTH,3220,North River Mental Health Center,0,,BX 17,10,3563,Director Mental Health Center,Annual,1,1,106884.00,106884.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2015,MENTAL HEALTH,3240,Lawndale Mental Health Center,0,,BX 17,10,3563,Director Mental Health Center,Annual,1,1,76512.00,76512.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2015,MENTAL HEALTH,3260,Greater Lawn Mental Health Center,0,,BX 17,10,3563,Director Mental Health Center,Annual,1,1,106884.00,106884.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2015,MENTAL HEALTH,3280,Southwest Mental Health Center,0,,MX 02,9,3384,Psychiatrist,Hourly,1,1,87.73,182478.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,B 14,3,2083,Environmental Investigator,Annual,1,1,65808.00,65808.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,B 14,3,2083,Environmental Investigator,Annual,1,1,54672.00,54672.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,BX 17,10,2082,Director of Environmental Inspections,Annual,1,1,88812.00,88812.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,G 07,4,2081,Environmental Engineer II,Annual,1,1,91224.00,91224.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,BX 15,10,2080,Supervising Environmental Inspector,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,B 14,3,2077,Senior Environmental Inspector,Annual,1,1,65808.00,65808.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,G 08,4,2073,Environmental Engineer III,Annual,2,1,99648.00,199296.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,3 00,0,2007,Environmental Control Technician - Hourly,Hourly,492,0,17.16,8443.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,3 00,0,1646,Attorney,Annual,1,1,82524.00,82524.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,69648.00,69648.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3052,Environmental Permitting and Inspections,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,4923.00,4923.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3320,Bioterrorism Program,0,,B 12,1,303,Administrative Assistant III,Annual,1,1,76428.00,76428.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,3,1,88812.00,266436.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,84780.00,84780.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,77280.00,77280.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,70380.00,70380.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,63516.00,63516.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 15,10,2383,Supervising Sanitarian,Annual,1,1,54492.00,54492.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,1,1,83832.00,83832.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,1,1,79992.00,79992.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,3,1,76428.00,229284.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,5,1,72936.00,364680.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,10,1,66492.00,664920.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,3,1,63456.00,190368.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,1,1,59976.00,59976.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,B 13,3,2381,Sanitarian II,Annual,5,1,49788.00,248940.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 17,10,2377,Chief Sanitarian,Annual,1,1,73020.00,73020.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,1 00,0,2375,Manager of Food Protection Services,Annual,1,1,92988.00,92988.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,88812.00,88812.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3330,Food Sanitation,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,23214.00,23214.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3335,Uptown Tuberculosis Clinic,0,,S 05,37,3752,Public Health Nurse II,Annual,1,1,91692.00,91692.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3335,Uptown Tuberculosis Clinic,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,66492.00,66492.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3336,West Town Tuberculosis Clinic,0,,SZ 06,56,3753,Public Health Nurse III,Annual,1,1,97224.00,97224.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3336,West Town Tuberculosis Clinic,0,,S 05,37,3752,Public Health Nurse II,Annual,1,1,91692.00,91692.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3336,West Town Tuberculosis Clinic,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,63456.00,63456.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3336,West Town Tuberculosis Clinic,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2657.00,2657.00
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,4,1,72192.00,288768.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3345,Englewood Tuberculosis Clinic,0,,S 05,37,3752,Public Health Nurse II,Annual,1,1,101136.00,101136.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3350,HIV/AIDS/STD Activity Office,0,,B 12,4,3465,Public Health Administrator I,Annual,1,1,60600.00,60600.00
Local,100,CORPORATE FUND,56,IPRA,1005,2005,IPRA,3010,Investigations,0,,3 00,0,9712,Coordinator of Investigations,Annual,1,1,120000.00,120000.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3355,STD Admin Office Miles Square,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,76428.00,76428.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3355,STD Admin Office Miles Square,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,60600.00,60600.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3355,STD Admin Office Miles Square,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,57828.00,57828.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3355,STD Admin Office Miles Square,0,,B 11,1,3130,Laboratory Technician,Annual,1,1,55212.00,55212.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3355,STD Admin Office Miles Square,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3021.00,3021.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3356,South Austin STD Clinic,0,,S 08,37,3763,Nurse Practitioner,Annual,1,1,117168.00,117168.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3356,South Austin STD Clinic,0,,M 01,4,3363,Physician,Hourly,1820,0,71.44,130021.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3356,South Austin STD Clinic,0,,B 11,1,3130,Laboratory Technician,Annual,1,1,69648.00,69648.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3365,Englewood STD Clinic,0,,M 01,4,3363,Physician,Hourly,1092,0,71.44,78012.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3365,Englewood STD Clinic,0,,M 01,4,3363,Physician,Hourly,1820,0,64.23,116899.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3365,Englewood STD Clinic,0,,B 09,1,3139,Certified Medical Assistant,Annual,1,1,57828.00,57828.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3365,Englewood STD Clinic,0,,GY 07,20,3127,Manager of Laboratory Services,Annual,1,1,59436.00,59436.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3365,Englewood STD Clinic,0,,B 08,1,430,Clerk III,Annual,1,1,31308.00,31308.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3365,Englewood STD Clinic,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2190.00,2190.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3370,Lakeview STD Clinic,0,,MX 02,9,3366,Supervising Physician,Hourly,1820,0,71.29,129748.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3370,Lakeview STD Clinic,0,,MX 02,9,3348,Medical Director,Hourly,1,1,56.51,117541.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3370,Lakeview STD Clinic,0,,B 09,1,3139,Certified Medical Assistant,Annual,1,1,34380.00,34380.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3370,Lakeview STD Clinic,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,798.00,798.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3375,Immunization Services,0,,S 04,37,3751,Public Health Nurse I,Annual,1,1,87372.00,87372.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3380,Infectious Disease Control,0,,B 12,3,3434,Communicable Disease Control Investigator II,Annual,1,1,57828.00,57828.00
Local,100,CORPORATE FUND,41,DEPARTMENT OF PUBLIC HEALTH,1005,2020,PUBLIC HEALTH,3380,Infectious Disease Control,0,,G 09,4,3407,Epidemiologist III,Annual,1,1,108924.00,108924.00
